Possession Status,Price,Covered Area,Carpet Area,City,Type of Property,bedroom,Bathroom,Parking,Location,Society,Ownership Type,isPrimeLocationProperty,Maintenance Charges
Ready to Move,13500000.0,1300.0,1063.0,Thane,Apartment,3,2.0,,"Kalyan West, Thane",N,Freehold,Y,
Ready to Move,8500000.0,1000.0,650.0,Thane,Apartment,2,2.0,,"Kalyan West, Thane",N,,Y,
Ready to Move,6000000.0,1200.0,700.0,Thane,Apartment,2,2.0,5 Open,"Kalyan West, Thane",N,Freehold,Y,1800.0
Ready to Move,7800000.0,985.0,638.0,Thane,Builder Floor Apartment,2,2.0,1 Open,"Kalyan West, Thane",N,,Y,
Ready to Move,5500000.0,927.0,612.0,Thane,Apartment,2,1.0,,"Kalyan West, Thane",N,Freehold,Y,
Under Construction,3500000.0,650.0,450.0,Thane,Apartment,1,2.0,1 Covered,"Kalyan West, Thane",Y,Freehold,Y,1200.0
Under Construction,3900000.0,650.0,450.0,Thane,Apartment,1,2.0,"1 Covered, 1 Open","Kalyan West, Thane",Y,Freehold,Y,1500.0
Under Construction,3673500.0,650.0,408.0,Thane,Apartment,1,2.0,1 Covered,"Kalyan West, Thane",Y,Freehold,Y,3.0
Under Construction,8820000.0,875.0,675.0,Thane,Apartment,2,2.0,,"Kalyan West, Thane",Y,Freehold,Y,
Under Construction,4569000.0,674.0,421.0,Thane,Apartment,1,2.0,1 Open,"Kalyan West, Thane",Y,Freehold,Y,2.0
Ready to Move,3750000.0,630.0,405.0,Thane,Apartment,1,1.0,1 Open,"Kalyan West, Thane",Y,Freehold,Y,1500.0
Ready to Move,5800000.0,970.0,670.0,Thane,Apartment,2,2.0,1 Open,"Kalyan West, Thane",N,Freehold,Y,1800.0
Ready to Move,4600000.0,600.0,425.0,Thane,Apartment,1,1.0,1 Open,"Kalyan West, Thane",Y,Freehold,Y,1500.0
Under Construction,5249000.0,803.0,502.0,Thane,Apartment,2,2.0,1 Covered,"Kalyan West, Thane",Y,Freehold,Y,3.0
Under Construction,4440000.0,550.0,367.0,Thane,Apartment,1,2.0,1 Open,"Kalyan West, Thane",Y,Freehold,Y,7.0
Under Construction,3190000.0,550.0,370.0,Thane,Apartment,1,2.0,,"Kalyan West, Thane",Y,Freehold,Y,1200.0
Under Construction,3650000.0,727.0,423.0,Thane,Apartment,1,2.0,1 Covered,"Kalyan West, Thane",Y,Freehold,Y,1800.0
Ready to Move,4300000.0,650.0,,Thane,Apartment,1,1.0,,"Kalyan West, Thane",N,Freehold,Y,2317.0
Under Construction,3990000.0,850.0,570.0,Thane,Apartment,2,2.0,1 Covered,"Kalyan West, Thane",Y,Freehold,Y,1500.0
Ready to Move,4000000.0,675.0,,Thane,Apartment,1,2.0,,"Kalyan West, Thane",Y,Freehold,Y,1700.0
